seq_id,tm
31390,1168.2558110408042
31391,1548.9125995061468
31392,578.0294082728999
31393,916.9137621182383
31394,1183.9132005449364
31395,1303.9302958792125
31396,1471.828236470286
31397,1389.0256036136243
31398,1813.7936436410894
31399,1558.0225128481031
31400,1360.3905182151416
31401,1394.9030757031524
31402,1213.83086540243
31403,575.093973550746
31404,1521.096039177452
31405,1689.2274195904733
31406,1525.7926127137605
31407,1578.1282466959308
31408,1612.7755685520647
31409,1398.9923626061209
31410,1434.4256000547223
31411,1852.657105024671
31412,1389.2251639698848
31413,1118.7433603217976
31414,865.9120490198428
31415,2006.8902737619287
31416,1858.464992026512
31417,1485.1636761398802
31418,1485.9129141603125
31419,1622.5252914893601
31420,1331.8333970399572
31421,1303.4484835383653
31422,1508.1041872452324
31423,1283.449500698392
31424,1539.325569780104
31425,1845.8703014319558
31426,1631.6907724938478
31427,1468.8131706163394
31428,1241.7406806853073
31429,671.8749900328102
31430,894.5901580551016
31431,514.2263804950164
31432,523.7034254736352
31433,1629.362907331956
31434,1717.6234574971352
31435,1630.682466171774
31436,1413.7655361612844
31437,1641.0367676037615
31438,1387.6106197983001
31439,1253.7729443483233
31440,1588.866711118512
31441,1232.7871866212388
31442,1468.3641017629864
31443,1753.932201643342
31444,1267.7364787969145
31445,1427.0687067742483
31446,537.1144227319685
31447,1453.701773235041
31448,1921.7262240418218
31449,1799.325972326581
31450,2060.3574736252413
31451,1386.6701039623194
31452,1407.3950838552946
31453,1931.9073325922188
31454,2077.658306028835
31455,1641.2168420498347
31456,1926.7873389408323
31457,1513.5847901654688
31458,1919.284678191799
31459,1672.3281009431453
31460,481.40081030546213
31461,1739.053582266442
31462,1477.6661750045787
31463,1754.0804570480348
31464,1499.0823048196812
31465,1912.99189637023
31466,1827.905391815693
31467,1580.110404478727
31468,868.8035048598596
31469,834.4189965438036
31470,485.45486429894913
31471,486.9444559122727
31472,595.0575233324978
31473,614.5183617486111
31474,378.29653601805364
31475,680.611735050995
31476,594.1203842322058
31477,378.4686175916949
31478,752.9355501804968
31479,1394.7931823634674
31480,453.1891342150754
31481,720.5689914564226
31482,1354.7780839627235
31483,1268.3355440946832
31484,1400.8851467976383
31485,921.0565311705427
31486,1745.423409650783
31487,1248.8654590984308
31488,1192.9824059580399
31489,1735.9511487523966
31490,543.8163562301054
31491,483.2071230377811
31492,1468.9140192865823
31493,1630.9288118530976
31494,1236.6279634052241
31495,523.6190647151723
31496,1510.526832162717
31497,1293.7035638463044
31498,1743.4350168352075
31499,1013.9029484158937
31500,1651.3958435021614
31501,1297.1484066088726
31502,946.0762872281233
31503,1791.4514577472878
31504,988.8491111878315
31505,1523.2926513189914
31506,2016.0200632510564
31507,1431.2420887392195
